推奨表記,原則として使用しない表記
あいさつ,挨拶
アイデア,アイディア
アイデンティティー,アイデンティティ
あいにく,生憎
あえて,敢えて
当たり前,あたり前
あらかじめ,予め
ありがとう,有難う
あるいは,或いは
併せて ※並べる、の意,あわせて
～（と）いう,～（と）言う
いかが・いかに,如何
潔い,いさぎ良い
至る,到る
いちず,一途
いつ,何日・何時
いったん,一旦
いまだに,未だに・今だに
いろいろ,色々
いわく,曰く
いわゆる,所謂
ウイーク（全角大）,ウィーク
ウイルス,ウィルス
（ご検討の）上,（ご検討の）うえ
ウエア,ウェア・ウェア―
ウエルカム,ウェルカム
うかがう,窺う
うまい,上手い・巧い・美味い・旨い
うれしい,嬉しい
うわさ,噂
うんぬん,云々
エンターテインメント,エンターテイメント
お（世辞）,御（世辞）
おいしい,美味しい
おいて,於いて
大いに,おおいに
大げさ,大袈裟
大ごと,大事
大ざっぱ,大雑把
オートマチック,オートマティック
大みそか,大晦日
おおむね,概ね
おおよそ・およそ,凡そ
おかげ,お陰・お蔭
行う,行なう
おごる,奢る・驕る・傲る
おっくう,億劫
おとなしい,大人しい
おのおの,各々
お話（名詞）,お話し
お話しする（動詞）,お話する
思い,想い
AおよびB,A及びB
及ぶ・及ぼす,およぶ・およぼす
おろそか,疎か
カ月（全角大）,ヶ月、ヵ月、か月
かい,甲斐
かえって,却って
がくぜん,愕然
駆け引き,駈け引き・掛け引き
かけら,欠片
かすり傷,擦り傷
がぜん,俄然
（信じ）難い,（信じ）がたい
かたくな,頑な
かつ,且つ
かなう,叶う・適う・敵う
かぶる,被る
かわいい,可愛い
かわいそう,可哀相・可哀想
気付く,気づく
気まぐれ,気紛れ
急きょ,急遽
くしくも,奇しくも
くつろぐ,寛ぐ
くまなく,隈なく
（流れを）くむ,（流れを）汲む
悔しい,口惜しい
クリア,クリアー
グローバリゼーション,グローバリーゼーション
詳しい,くわしい
けが,怪我
決して,けっして
けんか,喧嘩
けん制,牽制
ご存じ,ご存知
応える ※応じる、の意,こたえる
ごちそう,御馳走
（～する）こと,（～する）事
ごと,毎
ごとく,如く
異なる,ことなる
こまごま,細々
コミュニケーション,コミニュケーション
コンピューター,コンピュータ
サーバー,サーバ
歳（年齢）,才（年齢）
さえる,冴える
ささいな,些細な
ささげる,捧げる・献げる
差し支える,さしつかえる
さなか,最中
寂しい,淋しい
さまざま,様々
さらに,更に
強いて,しいて
しかし,然し・併し
しかも,然も
次第に,しだいに
従って,したがって
シチュエーション,シュチュエーション
しばらく,暫く
シミュレーション,シュミレーション
十分・じゅうぶん,充分
称賛,賞賛・賞讃
ずうずうしい,図々しい
すかさず,透かさず
すがすがしい,清々しい
隙間,透き間
すぐ・すぐに,直・直ぐに
少なくとも,すくなくとも
優れる,秀れる
すごい,凄い
ステータス,ステイタス
すてき,素敵
すなわち,即ち・則ち
スパゲティ,スパゲッティ
ずばぬける,ずば抜ける
素早い,素速い
すべ,術
全て,凡て・総て
スムーズ,スムース
精いっぱい,精一杯
ぜいたく,贅沢
せっかく,折角
切に,せつに
そば,傍、側
大して,たいして
ダイヤモンド,ダイアモンド
たくらむ,企む・謀む
蓄える,貯える
（思い）出す,（思い）だす
（動き）だす※はじめる、の意,（動き）出す
尋ねる,訊ねる
ただ,唯・只
たたえる,讃える・称える・賛える
ただし,但し
（子ども）たち,（子ども）達
たち（の悪い）,質（の悪い）
度（重なる）,たび（重なる）
（この）たび,（この）度
たまに,偶に
ため,為
近づく,近付く
ちなむ,因む
チャリティー,チャリティ
ちゅうちょ,躊躇
ちょうど,丁度
ついに,遂に・終に
つかの間,束の間
つなぐ,繋ぐ
つらい,辛い
データ,データー
手掛かり,手懸かり
できる,出来る
手始め,手初め
問い合わせ,問合せ
特に,とくに
とっさ,咄嗟・突差
とどまる・とどめる,留まる・留める
とにかく,兎に角
捉える ※把握する、の意,とらえる
取りあえず,取り敢えず
取り組み,取組み・取組
取りやめ,取り止め
なお,尚・猶
なかなか,中々・仲々
なじみ,馴染み
なぜ,何故
など,等
ならびに,並びに
なるほど,成る程
にぎやか,賑やか
（歩き）にくい,（歩き）難い
ぬるい,温い・微温い
ぬれる,濡れる
ネーティブ,ネイティブ
ねぎらう,労う
後ほど,後程
のっとる,則る・法る
はがき,葉書・端書
はかどる,捗る
はかない,儚い
始まる・始める（動詞）,はじまる・はじめる
～（を）はじめ,～ (を）始め
はず,筈
はせる,馳せる
果たす,はたす
はばかる,憚る
はやる,流行る
はるか,遥か
氾濫,はんらん
ひいき,贔屓
ひきょう,卑怯
日ごと,日毎
久しい,ひさしい
ひそかに,密かに・秘かに
ひどい,非道い・酷い
ひとえに,偏に
ひときわ,一際
一つ,ひとつ
ひととき,一時
暇,ひま
ひらめく,閃く
ふさわしい,相応しい
（知らん）ふり,（知らん）振り
方,ほう
（～して）ほしい,（～して）欲しい
（水が）欲しい,（水が）ほしい
ほどほど,程々
ほとんど,殆ど
まさに・まさしく,正に・正しく
まず,先ず
まずい,下手い・拙い・不味い
ますます,益々
まだ,未だ
または,又は、亦は
真っすぐ,真っ直ぐ
まね,真似
マネジメント,マネージメント
まばたく,瞬く
まぶしい,眩しい
